feature,mean_ctrl,mean_dep,diff,t_stat,p_value,cohens_d,u_pval,abs_d
neg_density,0.0035727053206958295,0.007056884557473616,0.0034841792367777866,-2.189449651702651,0.028773322923748304,0.1462039441762464,0.0866347249768792,0.1462039441762464
pos_density,0.018265504411232987,0.014547411858115583,-0.0037180925531174035,1.3626548295648304,0.17326971688865217,-0.09099341950076768,0.09639827360765932,0.09099341950076768
abrupt_ratio,0.0851472179110314,0.10690105421734815,0.02175383630631675,-1.3444291298164783,0.17908632970484312,0.08977636973371372,0.10181517942307843,0.08977636973371372
lexical_diversity,0.7989510577767469,0.808586075032544,0.009635017255797074,-0.8935419545084727,0.37176210691592193,0.05966766942299752,0.27486967088069403,0.05966766942299752
uncertainty_density,0.007623455008148887,0.009249557397910451,0.001626102389761564,-0.7068682493488081,0.47979779260807565,0.04720223915054874,0.826781121809643,0.04720223915054874
hedge_density,0.013468703304243797,0.015516701907535152,0.002047998603291355,-0.6785287308863416,0.497578972832866,0.045309823231303434,0.7918736726734406,0.045309823231303434
response_length,36.78887484197219,35.14057507987221,-1.648299762099981,0.6062462952683269,0.5444760708326928,-0.04048304990322027,0.14753007900700837,0.04048304990322027
avg_sentence_length,36.78887484197219,35.14057507987221,-1.648299762099981,0.6062462952683269,0.5444760708326928,-0.04048304990322027,0.14753007900700837,0.04048304990322027
social_density,0.025824685532198337,0.02369978345737264,-0.002124902074825699,0.5218417794846859,0.6018853643472915,-0.034846805605819785,0.2533715416369532,0.034846805605819785
fragment_ratio,0.39988122182101077,0.4085646890852679,0.008683467264257116,-0.35956683802820694,0.7192399761207433,0.02401064115533493,0.8592913370836416,0.02401064115533493
vague_density,0.009168728112645153,0.009251233793415227,8.250568077007407e-05,-0.03055514536546452,0.9756298469301892,0.0020403678905497706,0.16728226645350963,0.0020403678905497706
